fancyname;category;company;purchases;ads;usersinteract;age_rating;Downloads;price;rating;numberreviews;five;four;three;two;one
Hamster Life;casual;cross field inc.;1;1;0;0;10000000;0;4.4;220284;100;22;11;3;10
Polyforge;arcade;impactblue studios pty ltd;1;1;0;0;1000000;0;4.7;50497;100;14;3;1;2
Let's Create! Pottery Lite;casual;infinite dreams;0;1;0;0;10000000;0;4.4;724063;100;15;8;3;10
Dunk Shot;arcade;ketchapp;1;1;0;0;10000000;0;4.3;80911;100;24;12;4;12
VR Roller Coaster Temple Rider;adventure;rabbit mountain;1;1;0;0;5000000;0;3.8;34254;100;13;11;7;34
Write It! Russian;educational;jernung;1;1;0;0;50000;0;4.4;826;100;23;5;2;8
Tap Titans 2;role playing;game hive corporation;1;1;1;7;10000000;0;4.6;685013;100;15;4;1;3
Bee Factory;simulation;green panda games;1;1;0;0;10000000;0;4.4;256073;100;16;9;4;10
Planet Bomber!;arcade;voodoo;1;1;0;0;10000000;0;3.6;59789;100;28;22;13;44
Simon's Cat Dash;casual;good catch;1;1;0;0;1000000;0;4.5;20916;100;14;7;3;8
Real Chess;board;alienforce;1;1;1;12;10000000;0;4.4;35064;100;22;7;2;8
Chess Free;puzzle;big bull games;0;1;1;0;1000000;0;4.3;3746;100;37;13;3;7
Falling Ballz;arcade;ketchapp;0;1;0;0;500000;0;4.3;3174;100;27;10;4;12
Doodlecast for Chromecast;puzzle;marc stogaitis & mimi sun;0;0;0;0;100000;0;4.0;246;100;29;24;5;18
GreenRacer;racing;firewolf studios;1;0;0;0;100;0;4.6;5;100;66;0;0;0
MouseHunt;role playing;hitgrab game studio;1;1;1;0;100000;0;4.5;7677;100;10;5;4;8
Badminton League;sports;redfish games;1;1;0;0;10000000;0;4.3;42339;100;19;9;4;14
Memory Game;puzzle;star arcade;1;0;0;0;5000;0;3.9;61;100;28;5;2;37
GAMES FOR CATS;arcade;extra pop;1;0;0;0;1000000;0;2.5;5903;55;10;9;13;100
Cat Toys I: Games for Cats;arcade;helvmobile;1;1;0;7;500000;0;3.4;1557;100;28;25;16;61
My 49 days with cells;simulation;3catgames;1;1;0;0;1000000;0;4.1;11991;100;17;16;6;18
2048;puzzle;2048 game;1;1;1;0;10000000;0;4.6;229899;100;19;6;1;3
Word Cross;word;weplay word games;1;1;0;0;10000000;0;4.7;204701;100;8;2;1;4
My Cafe � Restaurant game;casual;melsoft games;1;1;0;0;10000000;0;4.7;3322322;100;11;4;1;4
HorseWorld � My Riding Horse - Play the game;simulation;tivola;1;1;0;0;5000000;0;3.9;13613;100;22;17;8;28
School Teacher My Classroom;casual;tinybit;0;1;0;0;500000;0;3.7;4859;100;10;11;9;38
Lie Detector Simulator;simulation;bigbeep;0;1;0;7;1000000;0;2.8;5195;82;15;15;16;100
Barbie� Fashion Closet;casual;mattel;1;1;0;0;10000000;0;3.9;155545;100;15;12;7;27
Fashion Empire - Boutique Sim;role playing;frenzoo;1;1;1;0;10000000;0;4.2;325992;100;23;11;5;17
Ice Skating Ballerina - Dance Challenge Arena;role playing;coco play by tabtale;1;1;0;0;10000000;0;4.3;285221;100;14;7;4;12
Gymnastics Superstar - Spin your way to gold!;role playing;coco play by tabtale;1;1;0;0;10000000;0;4.4;383683;100;14;7;3;11
Gymnastics Superstar - Perfect 10;casual;beauty inc;1;1;1;12;1000000;0;3.8;16516;100;12;9;7;38
My Baby Babsy - Playground Fun;casual;kaufcom games apps widgets;0;1;0;12;5000000;0;4.3;24461;100;9;8;3;13
Baby Hazel Swimming Time;casual;axis entertainment;1;1;0;0;1000000;0;4.5;10645;100;10;8;3;7
Fruit Slice;arcade;abstract game studio;0;1;0;0;10000000;0;4.1;44757;100;12;10;4;21
Merge Dragons!;puzzle;gram games limited;1;1;0;0;10000000;0;4.5;668022;100;28;7;2;6
Family Farm Seaside;casual;century game (diandian interactive);1;0;0;0;50000000;0;4.5;1505551;100;11;5;2;8
